IMF1,IMF1Y
-29.02270241,36.41122125
36.41122125,-32.08555434
-32.08555434,25.97033083
25.97033083,-28.64837797
-28.64837797,40.74351349
40.74351349,34.15962561
34.15962561,-59.15573579
-59.15573579,-43.70310481
-43.70310481,-19.95400488
-19.95400488,33.37729324
33.37729324,-30.74993446
-30.74993446,44.66335258
44.66335258,-17.13221781
-17.13221781,-98.82597656
-98.82597656,107.8210765
107.8210765,-51.84957212
-51.84957212,-76.90927823
-76.90927823,63.25495741
63.25495741,-31.16996425
-31.16996425,-71.78917852
-71.78917852,2.045262333
2.045262333,92.32485065
92.32485065,33.93308039
33.93308039,-80.02209257
-80.02209257,-13.78345191
-13.78345191,43.77879873
43.77879873,-33.15958358
-33.15958358,33.07726385
33.07726385,-40.11727087
-40.11727087,50.35211357
50.35211357,43.29248402
43.29248402,-39.42299098
-39.42299098,-82.05303062
-82.05303062,-67.78985743
-67.78985743,22.87174253
22.87174253,79.61134227
79.61134227,74.65576772
74.65576772,46.42085623
46.42085623,-8.13030193
-8.13030193,-24.48190584
-24.48190584,22.2344197
22.2344197,-32.33072424
-32.33072424,-13.09843081
-13.09843081,8.217668817
8.217668817,98.54016174
98.54016174,36.45479736
36.45479736,-124.8000255
-124.8000255,-116.3227458
-116.3227458,-89.64145026
-89.64145026,38.64859494
38.64859494,96.12812769
96.12812769,26.74470216
26.74470216,-104.0836079
-104.0836079,-91.39941191
-91.39941191,33.91674253
33.91674253,107.2777802
107.2777802,-82.16228791
-82.16228791,52.43567484
52.43567484,-39.70815852
-39.70815852,16.40385876
16.40385876,69.68667558
69.68667558,-100.4924526
-100.4924526,-96.80778128
-96.80778128,-61.76482275
-61.76482275,-26.15260595
-26.15260595,66.16896104
66.16896104,-12.42886559
-12.42886559,-50.65017263
-50.65017263,58.64458868
58.64458868,-73.76061082
-73.76061082,-23.63224617
-23.63224617,0.693481772
0.693481772,76.93930639
76.93930639,111.8279611
111.8279611,115.3562689
115.3562689,60.42231561
60.42231561,41.41789377
41.41789377,-2.460299977
-2.460299977,-21.01720666
-21.01720666,-43.06431814
-43.06431814,-7.19689405
-7.19689405,26.86128562
26.86128562,-33.47543244
-33.47543244,39.64434661
39.64434661,63.46455462
63.46455462,-6.030134136
-6.030134136,-66.63909366
-66.63909366,-63.93641474
-63.93641474,29.63718825
29.63718825,-13.51710301
-13.51710301,10.35844452
10.35844452,-17.4567523
-17.4567523,24.56626121
24.56626121,-11.42997929
-11.42997929,-14.84091473
-14.84091473,-27.05989179
-27.05989179,32.53132194
32.53132194,-45.29279531
-45.29279531,63.77619928
63.77619928,-83.08329194
-83.08329194,-25.42602321
-25.42602321,46.00646789
46.00646789,110.4253218
110.4253218,-51.61654986
-51.61654986,-87.19914964
-87.19914964,-40.82433512
-40.82433512,41.95153145
41.95153145,-23.0125152
-23.0125152,12.14461467
12.14461467,4.842362036
4.842362036,-8.077990821
-8.077990821,9.180776345
9.180776345,-14.20942459
-14.20942459,25.93693139
25.93693139,-40.95329084
-40.95329084,-4.532875921
-4.532875921,23.38627047
23.38627047,63.45243553
63.45243553,78.31390644
78.31390644,148.6973478
