DATE,IMF1
2014/6/11 0:00,149.6552355
2014/6/12 0:00,149.6842598
2014/6/13 0:00,149.7134263
2014/6/14 0:00,149.7427261
2014/6/15 0:00,149.7721503
2014/6/16 0:00,149.8016901
2014/6/17 0:00,149.8313365
2014/6/18 0:00,149.8610806
2014/6/19 0:00,149.8909137
2014/6/20 0:00,149.9208267
2014/6/21 0:00,149.9508108
2014/6/22 0:00,149.9808572
2014/6/23 0:00,150.0109568
2014/6/24 0:00,150.0411009
2014/6/25 0:00,150.0712805
2014/6/26 0:00,150.1014868
2014/6/27 0:00,150.1317109
2014/6/28 0:00,150.1619439
2014/6/29 0:00,150.1921769
2014/6/30 0:00,150.2224009
2014/7/1 0:00,150.2526072
2014/7/2 0:00,150.2827869
2014/7/3 0:00,150.312931
2014/7/4 0:00,150.3430306
2014/7/5 0:00,150.373077
2014/7/6 0:00,150.4030611
2014/7/7 0:00,150.4329741
2014/7/8 0:00,150.4628071
2014/7/9 0:00,150.4925513
2014/7/10 0:00,150.5221977
2014/7/11 0:00,150.5517375
2014/7/12 0:00,150.5811617
2014/7/13 0:00,150.6104615
2014/7/14 0:00,150.639628
2014/7/15 0:00,150.6686523
2014/7/16 0:00,150.6975255
2014/7/17 0:00,150.7262387
2014/7/18 0:00,150.7547831
2014/7/19 0:00,150.7831498
2014/7/20 0:00,150.8113298
2014/7/21 0:00,150.8393143
2014/7/22 0:00,150.8670944
2014/7/23 0:00,150.8946611
2014/7/24 0:00,150.9220057
2014/7/25 0:00,150.9491193
2014/7/26 0:00,150.9759929
2014/7/27 0:00,151.0026176
2014/7/28 0:00,151.0289846
2014/7/29 0:00,151.055085
2014/7/30 0:00,151.0809099
2014/7/31 0:00,151.1064504
2014/8/1 0:00,151.1316976
2014/8/2 0:00,151.1566426
2014/8/3 0:00,151.1812766
2014/8/4 0:00,151.2055907
2014/8/5 0:00,151.2295759
2014/8/6 0:00,151.2532234
2014/8/7 0:00,151.2765243
2014/8/8 0:00,151.2994697
2014/8/9 0:00,151.3220508
2014/8/10 0:00,151.3442585
2014/8/11 0:00,151.3660842
2014/8/12 0:00,151.3875187
2014/8/13 0:00,151.4085534
2014/8/14 0:00,151.4291792
2014/8/15 0:00,151.4493874
2014/8/16 0:00,151.4691689
2014/8/17 0:00,151.488515
2014/8/18 0:00,151.5074167
2014/8/19 0:00,151.5258652
2014/8/20 0:00,151.5438515
2014/8/21 0:00,151.5613668
2014/8/22 0:00,151.5784022
2014/8/23 0:00,151.5949488
2014/8/24 0:00,151.6109977
2014/8/25 0:00,151.62654
2014/8/26 0:00,151.6415669
2014/8/27 0:00,151.6560694
2014/8/28 0:00,151.6700387
2014/8/29 0:00,-30.59760109
2014/8/30 0:00,-30.77299717
2014/8/31 0:00,-30.90473512
2014/9/1 0:00,-30.98858035
2014/9/2 0:00,-31.01947344
2014/9/3 0:00,-30.99235499
2014/9/4 0:00,-30.90216556
2014/9/5 0:00,-30.74384576
2014/9/6 0:00,-30.51233617
2014/9/7 0:00,-30.20257737
2014/9/8 0:00,-29.80950995
2014/9/9 0:00,-29.3280745
