DATE,IMF1,IMF1Y
2014/5/21,149.0943119,149.1182971
2014/5/22,149.1182971,149.1426111
2014/5/23,149.1426111,149.1672451
2014/5/24,149.1672451,149.1921902
2014/5/25,149.1921902,149.2174374
2014/5/26,149.2174374,149.2429779
2014/5/27,149.2429779,149.2688028
2014/5/28,149.2688028,149.2949032
2014/5/29,149.2949032,149.3212702
2014/5/30,149.3212702,149.3478949
2014/5/31,149.3478949,149.3747685
2014/6/1,149.3747685,149.401882
2014/6/2,149.401882,149.4292266
2014/6/3,149.4292266,149.4567934
2014/6/4,149.4567934,149.4845735
2014/6/5,149.4845735,149.512558
2014/6/6,149.512558,149.540738
2014/6/7,149.540738,149.5691047
2014/6/8,149.5691047,149.597649
2014/6/9,149.597649,149.6263623
2014/6/10,149.6263623,149.6552355
2014/6/11,149.6552355,149.6842598
2014/6/12,149.6842598,149.7134263
2014/6/13,149.7134263,149.7427261
2014/6/14,149.7427261,149.7721503
2014/6/15,149.7721503,149.8016901
2014/6/16,149.8016901,149.8313365
2014/6/17,149.8313365,149.8610806
2014/6/18,149.8610806,149.8909137
2014/6/19,149.8909137,149.9208267
2014/6/20,149.9208267,149.9508108
2014/6/21,149.9508108,149.9808572
2014/6/22,149.9808572,150.0109568
2014/6/23,150.0109568,150.0411009
2014/6/24,150.0411009,150.0712805
2014/6/25,150.0712805,150.1014868
2014/6/26,150.1014868,150.1317109
2014/6/27,150.1317109,150.1619439
2014/6/28,150.1619439,150.1921769
2014/6/29,150.1921769,150.2224009
2014/6/30,150.2224009,150.2526072
2014/7/1,150.2526072,150.2827869
2014/7/2,150.2827869,150.312931
2014/7/3,150.312931,150.3430306
2014/7/4,150.3430306,150.373077
2014/7/5,150.373077,150.4030611
2014/7/6,150.4030611,150.4329741
2014/7/7,150.4329741,150.4628071
2014/7/8,150.4628071,150.4925513
2014/7/9,150.4925513,150.5221977
2014/7/10,150.5221977,150.5517375
2014/7/11,150.5517375,150.5811617
2014/7/12,150.5811617,150.6104615
2014/7/13,150.6104615,150.639628
2014/7/14,150.639628,150.6686523
2014/7/15,150.6686523,150.6975255
2014/7/16,150.6975255,150.7262387
2014/7/17,150.7262387,150.7547831
2014/7/18,150.7547831,150.7831498
2014/7/19,150.7831498,150.8113298
2014/7/20,150.8113298,150.8393143
2014/7/21,150.8393143,150.8670944
2014/7/22,150.8670944,150.8946611
2014/7/23,150.8946611,150.9220057
2014/7/24,150.9220057,150.9491193
2014/7/25,150.9491193,150.9759929
2014/7/26,150.9759929,151.0026176
2014/7/27,151.0026176,151.0289846
2014/7/28,151.0289846,151.055085
2014/7/29,151.055085,151.0809099
2014/7/30,151.0809099,151.1064504
2014/7/31,151.1064504,151.1316976
2014/8/1,151.1316976,151.1566426
2014/8/2,151.1566426,151.1812766
2014/8/3,151.1812766,151.2055907
2014/8/4,151.2055907,151.2295759
2014/8/5,151.2295759,151.2532234
2014/8/6,151.2532234,151.2765243
2014/8/7,151.2765243,151.2994697
2014/8/8,151.2994697,151.3220508
2014/8/9,151.3220508,151.3442585
2014/8/10,151.3442585,151.3660842
2014/8/11,151.3660842,151.3875187
2014/8/12,151.3875187,151.4085534
2014/8/13,151.4085534,151.4291792
2014/8/14,151.4291792,151.4493874
2014/8/15,151.4493874,151.4691689
